ERHEBUNGDATUM,OBJECTID,PSID,BADEPLATZ,GEWAESSER,PROBENNR,QUALITAETSKLASSE,X,Y
14.05.2019,1,2481,"Arbon Seebad","Bodensee",286518,A,47.526341,9.418773
14.05.2019,2,2483,"Horn Seebad","Bodensee",286517,A,47.686759,8.996198
14.05.2019,3,8271,"Kesswil Badeplatz","Bodensee",286523,A,47.600304,9.315339
14.05.2019,4,6446,"Wiedehorn Badeplatz","Bodensee",286519,B,47.537391,9.400445
14.05.2019,5,8269,"Romanshorn Seebad","Bodensee",286521,A,47.573399,9.376123
14.05.2019,6,8270,"Uttwil Badeplatz","Bodensee",286522,A,47.589272,9.333244
14.05.2019,7,8268,"Salmsach Badeplatz","Bodensee",286520,A,47.553698,9.380189
13.05.2019,8,6464,"Hauptwiler-Weiher Badeplatz","Binnenseen",286501,A,47.479701,9.255685
13.05.2019,9,6458,"Diessenhof Badeplatz","Rhein",286513,A,47.677547,8.780326
13.05.2019,10,6455,"Wiler-Weiher Badeplatz","Binnenseen",286510,A,47.4701855,9.0489491
13.05.2019,11,6456,"Barchetsee Badeplatz","Binnenseen",286511,A,47.6155127,8.7510053
14.05.2019,12,8273,"Altnau Badeplatz","Bodensee",286525,A,47.6223503,9.2671875
14.05.2019,13,8272,"Güttingen Badeplatz","Bodensee",286524,A,47.6134344,9.2900669
14.05.2019,14,8277,"Kreuzlingen Seebad","Bodensee",286528,A,47.6450149,9.1968012
14.05.2019,15,8275,"Scherzingen Badeplatz","Bodensee",286526,A,47.6134344,9.2900669
14.05.2019,16,2568,"Tägerwilen Badeplatz","Untersee",286547,C,47.6454087,9.1172654
13.05.2019,17,6468,"Bommerweiher Badeplatz","Binnenseen",286504,A,47.6179637,9.1573891
13.05.2019,18,6463,"Märwiler-Weiher Badeplatz","Binnenseen",286503,A,47.5386734,9.0724664
13.05.2019,19,6462,"Bichelsee Badeplatz","Binnenseen",286500,A,47.4530568,8.9069438
14.05.2019,20,6477,"Berlingen Badeplatz","Untersee",286551,A,47.6735894,9.0306732
14.05.2019,21,6478,"Eschenz Badeplatz","Untersee",286554,A,47.6509754,8.8811987
13.05.2019,22,2594,"Hüttwilersee Badeplatz","Binnenseen",286507,A,47.6094975,8.8389793
13.05.2019,23,2595,"Nussbaumersee Badeplatz Nussbaumen","Binnenseen",286508,A,47.6156947,8.814997
13.05.2019,24,6469,"Pfynerweiher Badeplatz","Binnenseen",286505,A,47.5932408,8.954526
14.05.2019,25,6480,"Mannenbach Badeplatz","Untersee",286550,A,47.6731291,9.0437752
14.05.2019,26,6481,"Steckborn Seebad","Untersee",286552,A,47.658948,8.9684874
13.05.2019,27,8266,"Wagenhausen Badeplatz","Rhein",286514,A,47.6565487,8.8091355
13.05.2019,28,6465,"Istighofer-Weiher Badeplatz","Binnenseen",286502,A,47.542211,9.1409169
14.05.2019,29,2621,"Ermatingen Badeplatz","Untersee",286549,A,47.6713663,9.070993
14.05.2019,30,6479,"Mammern Badeplatz","Untersee",286553,A,47.6445146,8.9063059
13.05.2019,31,2658,"Nussbaumersee Badeplatz Stammheim","Binnenseen",286509,B,47.6156947,8.814997
14.05.2019,32,8276,"Bottighofen Badeplatz","Bodensee",286527,A,47.641545,9.2109827
14.05.2019,33,8267,"Gottlieben Badeplatz","Untersee",286548,A,47.6646715,9.1235726
13.05.2019,34,6457,"Petri Badeplatz","Rhein",286512,A,47.6879387,8.678646
12.06.2019,1,2481,"Arbon Seebad","Bodensee",286994,A,47.526341,9.418773
12.06.2019,2,2483,"Horn Seebad","Bodensee",286993,A,47.686759,8.996198
12.06.2019,3,8271,"Kesswil Badeplatz","Bodensee",286999,B,47.600304,9.315339
12.06.2019,4,6446,"Wiedehorn Badeplatz","Bodensee",286995,A,47.537391,9.400445
12.06.2019,5,8269,"Romanshorn Seebad","Bodensee",286997,A,47.573399,9.376123
17.06.2019,6,8270,"Uttwil Badeplatz","Bodensee",287059,A,47.589272,9.333244
12.06.2019,7,8268,"Salmsach Badeplatz","Bodensee",286996,B,47.553698,9.380189
11.06.2019,8,6464,"Hauptwiler-Weiher Badeplatz","Binnenseen",286963,B,47.479701,9.255685
11.06.2019,9,6458,"Diessenhof Badeplatz","Rhein",286960,B,47.677547,8.780326
11.06.2019,10,6455,"Wiler-Weiher Badeplatz","Binnenseen",286957,B,47.4701855,9.0489491
11.06.2019,11,6456,"Barchetsee Badeplatz","Binnenseen",286958,A,47.6155127,8.7510053
12.06.2019,12,8273,"Altnau Badeplatz","Bodensee",287001,B,47.6223503,9.2671875
12.06.2019,13,8272,"Güttingen Badeplatz","Bodensee",287000,A,47.6134344,9.2900669
12.06.2019,14,8277,"Kreuzlingen Seebad","Bodensee",287004,B,47.6450149,9.1968012
12.06.2019,15,8275,"Scherzingen Badeplatz","Bodensee",287002,B,47.6134344,9.2900669
12.06.2019,16,2568,"Tägerwilen Badeplatz","Untersee",286979,B,47.6454087,9.1172654
11.06.2019,17,6468,"Bommerweiher Badeplatz","Binnenseen",286966,B,47.6179637,9.1573891
11.06.2019,18,6463,"Märwiler-Weiher Badeplatz","Binnenseen",286965,B,47.5386734,9.0724664
11.06.2019,19,6462,"Bichelsee Badeplatz","Binnenseen",286962,B,47.4530568,8.9069438
12.06.2019,20,6477,"Berlingen Badeplatz","Untersee",286983,A,47.6735894,9.0306732
12.06.2019,21,6478,"Eschenz Badeplatz","Untersee",286986,A,47.6509754,8.8811987
11.06.2019,22,2594,"Hüttwilersee Badeplatz","Binnenseen",286948,A,47.6094975,8.8389793
11.06.2019,23,2595,"Nussbaumersee Badeplatz Nussbaumen","Binnenseen",286949,A,47.6156947,8.814997
11.06.2019,24,6469,"Pfynerweiher Badeplatz","Binnenseen",286967,B,47.5932408,8.954526
12.06.2019,25,6480,"Mannenbach Badeplatz","Untersee",286982,A,47.6731291,9.0437752
12.06.2019,26,6481,"Steckborn Seebad","Untersee",286984,B,47.658948,8.9684874
11.06.2019,27,8266,"Wagenhausen Badeplatz","Rhein",286961,A,47.6565487,8.8091355
11.06.2019,28,6465,"Istighofer-Weiher Badeplatz","Binnenseen",286964,C,47.542211,9.1409169
12.06.2019,29,2621,"Ermatingen Badeplatz","Untersee",286981,A,47.6713663,9.070993
12.06.2019,30,6479,"Mammern Badeplatz","Untersee",286985,A,47.6445146,8.9063059
11.06.2019,31,2658,"Nussbaumersee Badeplatz Stammheim","Binnenseen",286956,A,47.6156947,8.814997
12.06.2019,32,8276,"Bottighofen Badeplatz","Bodensee",287003,B,47.641545,9.2109827
12.06.2019,33,8267,"Gottlieben Badeplatz","Untersee",286980,A,47.6646715,9.1235726
11.06.2019,34,6457,"Petri Badeplatz","Rhein",286959,B,47.6879387,8.678646
08.07.2019,1,2481,"Arbon Seebad","Bodensee",288736,A,47.526341,9.418773
08.07.2019,2,2483,"Horn Seebad","Bodensee",288735,A,47.686759,8.996198
08.07.2019,3,8271,"Kesswil Badeplatz","Bodensee",288741,A,47.600304,9.315339
08.07.2019,4,6446,"Wiedehorn Badeplatz","Bodensee",288737,A,47.537391,9.400445
08.07.2019,5,8269,"Romanshorn Seebad","Bodensee",288739,A,47.573399,9.376123
08.07.2019,6,8270,"Uttwil Badeplatz","Bodensee",288740,A,47.589272,9.333244
08.07.2019,7,8268,"Salmsach Badeplatz","Bodensee",288738,B,47.553698,9.380189
09.07.2019,8,6464,"Hauptwiler-Weiher Badeplatz","Binnenseen",288748,A,47.479701,9.255685
08.07.2019,9,6458,"Diessenhof Badeplatz","Rhein",288732,A,47.677547,8.780326
08.07.2019,10,6455,"Wiler-Weiher Badeplatz","Binnenseen",288729,A,47.4701855,9.0489491
08.07.2019,11,6456,"Barchetsee Badeplatz","Binnenseen",288730,A,47.6155127,8.7510053
08.07.2019,12,8273,"Altnau Badeplatz","Bodensee",288743,A,47.6223503,9.2671875
08.07.2019,13,8272,"Güttingen Badeplatz","Bodensee",288742,A,47.6134344,9.2900669
08.07.2019,14,8277,"Kreuzlingen Seebad","Bodensee",288746,A,47.6450149,9.1968012
08.07.2019,15,8275,"Scherzingen Badeplatz","Bodensee",288744,B,47.6134344,9.2900669
08.07.2019,16,2568,"Tägerwilen Badeplatz","Untersee",288708,B,47.6454087,9.1172654
09.07.2019,17,6468,"Bommerweiher Badeplatz","Binnenseen",288751,B,47.6179637,9.1573891
09.07.2019,18,6463,"Märwiler-Weiher Badeplatz","Binnenseen",288750,B,47.5386734,9.0724664
09.07.2019,19,6462,"Bichelsee Badeplatz","Binnenseen",288747,A,47.4530568,8.9069438
08.07.2019,20,6477,"Berlingen Badeplatz","Untersee",288722,A,47.6735894,9.0306732
08.07.2019,21,6478,"Eschenz Badeplatz","Untersee",288725,A,47.6509754,8.8811987
08.07.2019,22,2594,"Hüttwilersee Badeplatz","Binnenseen",288726,A,47.6094975,8.8389793
08.07.2019,23,2595,"Nussbaumersee Badeplatz Nussbaumen","Binnenseen",288727,A,47.6156947,8.814997
09.07.2019,24,6469,"Pfynerweiher Badeplatz","Binnenseen",288752,A,47.5932408,8.954526
08.07.2019,25,6480,"Mannenbach Badeplatz","Untersee",288721,B,47.6731291,9.0437752
08.07.2019,26,6481,"Steckborn Seebad","Untersee",288723,A,47.658948,8.9684874
08.07.2019,27,8266,"Wagenhausen Badeplatz","Rhein",288733,A,47.6565487,8.8091355
09.07.2019,28,6465,"Istighofer-Weiher Badeplatz","Binnenseen",288749,A,47.542211,9.1409169
08.07.2019,29,2621,"Ermatingen Badeplatz","Untersee",288720,A,47.6713663,9.070993
08.07.2019,30,6479,"Mammern Badeplatz","Untersee",288724,A,47.6445146,8.9063059
08.07.2019,31,2658,"Nussbaumersee Badeplatz Stammheim","Binnenseen",288728,A,47.6156947,8.814997
08.07.2019,32,8276,"Bottighofen Badeplatz","Bodensee",288745,B,47.641545,9.2109827
08.07.2019,33,8267,"Gottlieben Badeplatz","Untersee",288709,A,47.6646715,9.1235726
08.07.2019,34,6457,"Petri Badeplatz","Rhein",288731,A,47.6879387,8.678646
09.08.2019,1,2481,"Arbon Seebad","Bodensee",289176,A,47.526341,9.418773
09.08.2019,2,2483,"Horn Seebad","Bodensee",289175,A,47.686759,8.996198
09.08.2019,3,8271,"Kesswil Badeplatz","Bodensee",289181,A,47.600304,9.315339
09.08.2019,4,6446,"Wiedehorn Badeplatz","Bodensee",289177,A,47.537391,9.400445
08.08.2019,5,8269,"Romanshorn Seebad","Bodensee",289179,A,47.573399,9.376123
09.08.2019,6,8270,"Uttwil Badeplatz","Bodensee",289180,A,47.589272,9.333244
09.08.2019,7,8268,"Salmsach Badeplatz","Bodensee",289178,B,47.553698,9.380189
07.08.2019,8,6464,"Hauptwiler-Weiher Badeplatz","Binnenseen",289125,A,47.479701,9.255685
09.08.2019,9,6458,"Diessenhof Badeplatz","Rhein",289174,A,47.677547,8.780326
