ERHEBUNGDATUM,BADEPLATZ,GEWAESSER,QUALITAETSKLASSE
14.05.2019,"Arbon Seebad","Bodensee",A
14.05.2019,"Horn Seebad","Bodensee",A
14.05.2019,"Kesswil Badeplatz","Bodensee",A
14.05.2019,"Wiedehorn Badeplatz","Bodensee",B
14.05.2019,"Romanshorn Seebad","Bodensee",A
14.05.2019,"Uttwil Badeplatz","Bodensee",A
14.05.2019,"Salmsach Badeplatz","Bodensee",A
13.05.2019,"Hauptwiler-Weiher Badeplatz","Binnenseen",A
13.05.2019,"Diessenhof Badeplatz","Rhein",A
13.05.2019,"Wiler-Weiher Badeplatz","Binnenseen",A
13.05.2019,"Barchetsee Badeplatz","Binnenseen",A
14.05.2019,"Altnau Badeplatz","Bodensee",A
14.05.2019,"Güttingen Badeplatz","Bodensee",A
14.05.2019,"Kreuzlingen Seebad","Bodensee",A
14.05.2019,"Scherzingen Badeplatz","Bodensee",A
14.05.2019,"Tägerwilen Badeplatz","Untersee",C
13.05.2019,"Bommerweiher Badeplatz","Binnenseen",A
13.05.2019,"Märwiler-Weiher Badeplatz","Binnenseen",A
13.05.2019,"Bichelsee Badeplatz","Binnenseen",A
14.05.2019,"Berlingen Badeplatz","Untersee",A
14.05.2019,"Eschenz Badeplatz","Untersee",A
13.05.2019,"Hüttwilersee Badeplatz","Binnenseen",A
13.05.2019,"Nussbaumersee Badeplatz Nussbaumen","Binnenseen",A
13.05.2019,"Pfynerweiher Badeplatz","Binnenseen",A
14.05.2019,"Mannenbach Badeplatz","Untersee",A
14.05.2019,"Steckborn Seebad","Untersee",A
13.05.2019,"Wagenhausen Badeplatz","Rhein",A
13.05.2019,"Istighofer-Weiher Badeplatz","Binnenseen",A
14.05.2019,"Ermatingen Badeplatz","Untersee",A
14.05.2019,"Mammern Badeplatz","Untersee",A
13.05.2019,"Nussbaumersee Badeplatz Stammheim","Binnenseen",B
14.05.2019,"Bottighofen Badeplatz","Bodensee",A
14.05.2019,"Gottlieben Badeplatz","Untersee",A
13.05.2019,"Petri Badeplatz","Rhein",A
12.06.2019,"Arbon Seebad","Bodensee",A
12.06.2019,"Horn Seebad","Bodensee",A
12.06.2019,"Kesswil Badeplatz","Bodensee",B
12.06.2019,"Wiedehorn Badeplatz","Bodensee",A
12.06.2019,"Romanshorn Seebad","Bodensee",A
17.06.2019,"Uttwil Badeplatz","Bodensee",A
12.06.2019,"Salmsach Badeplatz","Bodensee",B
11.06.2019,"Hauptwiler-Weiher Badeplatz","Binnenseen",B
11.06.2019,"Diessenhof Badeplatz","Rhein",B
11.06.2019,"Wiler-Weiher Badeplatz","Binnenseen",B
11.06.2019,"Barchetsee Badeplatz","Binnenseen",A
12.06.2019,"Altnau Badeplatz","Bodensee",B
12.06.2019,"Güttingen Badeplatz","Bodensee",A
12.06.2019,"Kreuzlingen Seebad","Bodensee",B
12.06.2019,"Scherzingen Badeplatz","Bodensee",B
12.06.2019,"Tägerwilen Badeplatz","Untersee",B
11.06.2019,"Bommerweiher Badeplatz","Binnenseen",B
11.06.2019,"Märwiler-Weiher Badeplatz","Binnenseen",B
11.06.2019,"Bichelsee Badeplatz","Binnenseen",B
12.06.2019,"Berlingen Badeplatz","Untersee",A
12.06.2019,"Eschenz Badeplatz","Untersee",A
11.06.2019,"Hüttwilersee Badeplatz","Binnenseen",A
11.06.2019,"Nussbaumersee Badeplatz Nussbaumen","Binnenseen",A
11.06.2019,"Pfynerweiher Badeplatz","Binnenseen",B
12.06.2019,"Mannenbach Badeplatz","Untersee",A
12.06.2019,"Steckborn Seebad","Untersee",B
11.06.2019,"Wagenhausen Badeplatz","Rhein",A
11.06.2019,"Istighofer-Weiher Badeplatz","Binnenseen",C
12.06.2019,"Ermatingen Badeplatz","Untersee",A
12.06.2019,"Mammern Badeplatz","Untersee",A
11.06.2019,"Nussbaumersee Badeplatz Stammheim","Binnenseen",A
